Unnamed: 0,text,imagename,len_char,len_word,prdtypecode,img_ratios,label
50269,dejikame detsukuru fotonenga inpuresumukku,image_1298792696_product_4140100781.jpg,42,4,10,0.754,0
72392,how to restore paintwork osprey restoration guide no,image_1076925893_product_143661827.jpg,52,8,10,0.75,0
27551,journal de laffaire dreyfus laffaire dreyfus et le quai dorsay,image_1077986707_product_1388830479.jpg,62,10,10,0.696,0
38815,cours de physique classe de seconde,image_905259500_product_149860962.jpg,35,6,10,0.652,0
31806,dictionnaire de la gendarmerie a l usage des officiers chfs de brigade et gendarmes par le chef d escadron cochet de savigny le livre est taché sur la page de garde et aurait besoin dune restauration de broches sinon lintérieur est en bon état,image_1117024433_product_1967104842.jpg,243,44,10,0.75,0
3036,lernwerkstatt die weimarer republik,image_878270201_product_86041930.jpg,35,4,10,0.1128,0
38318,théophraste renaudot la plume et le caducée,image_1283440592_product_852314.jpg,43,7,10,0.684,0
50097,le probleme de l ecole,image_1241787263_product_3760820134.jpg,22,5,10,0.706,0
35689,point deffet sans cause,image_1255982388_product_2067750676.jpg,23,4,10,0.666,0
44603,political philosophy part iii scholars choice edition,image_1310196249_product_4183252466.jpg,53,7,10,0.768,0
6742,dinner party the new entertaining,image_1295385612_product_4126279739.jpg,33,5,10,0.71,0
22640,enseignements pour le nouvel age dor,image_962338866_product_226117092.jpg,36,6,10,0.625224,0
33226,tres rare recueil de coefficients et dequivalences poids mesures systeme metrique coefficients pour la conversion des poidsmesures et monnaies au système metrique décimal tableaux dequivalencesdes unités de mesure du système metrique décimalen unités de mesures anglo saxonnes edition institut international dagriculture rome tres rare,image_974939717_product_272492178.jpg,335,44,10,0.71,0
70898,traité délectricité volume haute tension,image_1254652389_product_2665752834.jpg,40,5,10,0.644,0
54753,sémiotique de la poésie,image_1283031819_product_215641.jpg,23,4,10,0.59136,0
62441,bretagne belles balades,image_1109910168_product_1877302607.jpg,23,3,10,0.6574,0
14676,letat de droit à lépreuve du terrorisme de lamérique post septembre à la france en état durgence,image_1299777563_product_1645913248.jpg,96,17,10,0.591552,0
55829,modern lens antennas for communications engineering,image_933864916_product_147366233.jpg,51,6,10,0.101808,0
83701,droit de lentreprise en difficulte ème édition,image_1274562316_product_524187.jpg,46,7,10,0.702,0
19698,extraordinary knowing science skepticism and the inexplicable powers of the human mind,image_1300195696_product_86902564.jpg,86,12,10,0.662,0
73579,love your poodle and play sudoku silver standard poodle sudoku level,image_1222679344_product_3562167783.jpg,68,11,10,0.057288,0
38728,pour la cause italienne aux eveques catholiques apologie par un pretre catholique trad du texte latin suivi de le p passaglia et la congrégation de lindex,image_875676202_product_108592287.jpg,154,26,10,0.61,0
18024,observons pour connaitre livre de sciences pour le cours moyen le cours supérieur et les classes de et des lycées et collèges,image_916551208_product_161344172.jpg,125,22,10,0.73,0
33310,des situations pour intégrer les acquis scolaires,image_896817584_product_62029582.jpg,49,7,10,0.604192,0
41991,kare kano his and her circumstances vol,image_539218730_product_53294505.jpg,39,7,10,0.672,0
12114,a prince of the captivity,image_1213418293_product_143882703.jpg,25,5,10,0.105848,0
15195,nobel lectures from the literature laureates,image_1299835537_product_86924966.jpg,44,6,10,0.666,0
6121,arredondo j complete first language english for cambridge,image_1300136987_product_3706435810.jpg,57,8,10,0.766,0
20962,rechnergestützter layoutentwurf von hybridschaltungen,image_1305468237_product_3965536153.jpg,53,4,10,0.7,0
81727,mes contemporains publiés en mil huit cent soixante quatre avec un appendice de mil huit cent quatre vingt dix alexandre weill edition de,image_1008765192_product_439144450.jpg,137,23,10,0.706,0
25493,the poems of catullus,image_1201424358_product_541997142.jpg,21,4,10,0.109888,0
33681,vida life being human in the age of artificial intelligence,image_1226742238_product_3332202026.jpg,59,10,10,0.63,0
67736,proal l crime et le suicide passionnels classic reprint,image_1212477731_product_1993755510.jpg,55,9,10,0.110976,0
53627,the ultimate book of drawing essential skills techniques inspiration for artists,image_1215647312_product_156428355.jpg,80,11,10,0.113928,0
59966,un coeur si blanc,image_896665527_product_65351468.jpg,17,4,10,0.5472,0
6367,journal of the american oriental society volume,image_1305079916_product_4163175013.jpg,47,7,10,0.63,0
4939,the memoirs of christopher columbus,image_1076989164_product_143765663.jpg,35,5,10,0.658,0
10983,dico mémo moyens mnémotechniques,image_894172682_product_60447138.jpg,32,4,10,0.50688,0
64266,le coeur est un muscle involontaire,image_1260061161_product_122986779.jpg,35,6,10,0.623912,0
58528,la coupe du monde et autres footaises le dico non officiel,image_1274315224_product_18220935.jpg,58,11,10,0.552672,0
12811,mort en eaux grises,image_1274369562_product_3366751469.jpg,19,4,10,0.668,0
45748,nomenclature des bureaux de poste et de télégraphe des boulevards passages rues etc,image_1260310739_product_2590322020.jpg,83,13,10,0.666,0
36538,the childrens bible in stories a classic childrens bible with international sales in more than languages and over copies in print worldwide now in paperback at a very competitive price colour illus throughout,image_1239509752_product_18663956.jpg,208,33,10,0.105984,0
73168,limited data rate in control systems with networks,image_1021533143_product_446622736.jpg,50,8,10,0.092004,0
61787,les anneaux de rhea,image_288772233_product_5492601.jpg,19,4,10,0.33984,0
4786,lynch e project phonics pink exploring letters,image_1077336801_product_857551731.jpg,46,7,10,0.85,0
28138,michael busselles guide to travel and vacation photography michael busselles guide to,image_1296163608_product_143910193.jpg,85,12,10,0.862,0
32920,lets review spanish with audio cd,image_895247933_product_87620768.jpg,33,6,10,0.634,0
8238,labc des enfants sages,image_854621506_product_3052441.jpg,22,4,10,0.728,0
52620,circulaire du général wirion à la gendarmerie nationale des neuf départements réunis,image_1257517059_product_2068671689.jpg,84,12,10,0.666,0
7986,when in paris and borneo,image_1203139756_product_3267048146.jpg,24,5,10,0.10908,0
14627,when god weeps why our sufferings matter to the almighty,image_1299674273_product_4140736793.jpg,56,10,10,0.678,0
65223,der übergang vom kindergarten in die grundschule mit hilfe von bildungs und lerngeschichten,image_1307096850_product_228422587.jpg,91,13,10,0.68448,0
64496,adolf loos e il suo angelo das andere e altri scritti,image_1299945807_product_4141021716.jpg,53,11,10,0.55,0
60044,cours deconomie politique t cours deconomie politique t,image_933621848_product_54552772.jpg,55,8,10,0.75,0
6197,the worlds greatest aircraft military aircraft,image_1077063134_product_143769681.jpg,46,6,10,0.666,0
84472,howard c der eiserne wald,image_1227213422_product_180992407.jpg,25,5,10,0.11178,0
68600,la révolution au guatemala la révolution au guatemala,image_1173360001_product_1856326689.jpg,53,8,10,0.75,0
